shapex,shapey,npts,n,mean,stdev
1,1, 1, 10, 0.04570026397705078, 0.0021742211848297024
1,2, 2, 10, 0.04554369449615479, 0.0018604661989653367
1,4, 4, 10, 0.04469563961029053, 0.0016617032136076945
1,8, 8, 10, 0.045567870140075684, 0.0020517186681753377
1,16, 16, 10, 0.0455589771270752, 0.001999716979078629
1,32, 32, 10, 0.039957427978515626, 0.012799311239345499
1,64, 64, 10, 0.031956148147583005, 0.020320274994646503
1,128, 128, 10, 0.006053280830383301, 0.012525433206473714
1,256, 256, 10, 0.0064241886138916016, 0.011946510270139475
1,512, 512, 10, 0.0015882253646850586, 0.00035132357793853867
1,1024, 1024, 10, 0.042546987533569336, 0.013905681364189753
1,2048, 2048, 10, 0.03188235759735107, 0.01978793329345568
1,4096, 4096, 10, 0.01080183982849121, 0.017653771505612613
1,8192, 8192, 10, 0.011141681671142578, 0.017280659461661234
1,16384, 16384, 10, 0.007650518417358398, 0.012396412596819482
1,32768, 32768, 10, 0.0020688056945800783, 0.00034294972088464104
1,65536, 65536, 10, 0.002678322792053223, 0.00019185941852488967
1,131072, 131072, 10, 0.012894988059997559, 0.016558910889624943
1,262144, 262144, 10, 0.016559028625488283, 0.01373094612272956
1,524288, 524288, 10, 0.1084317684173584, 0.02016466702848286
1,1048576, 1048576, 10, 0.2721677780151367, 0.08450354926176476
1,2097152, 2097152, 10, 1.0125263214111329, 0.16975284851643357
1,4194304, 4194304, 10, 4.43003146648407, 0.5431876004994176
1,8388608, 8388608, 3, 20.532145579655964, 3.02072826322624
1,6000000, 6000000, 7, 9.112792321613856, 0.04638574429410389
512,512, 262144, 10, 0.07648403644561767, 0.006341131731447843
1024,1024, 1048576, 10, 0.23588480949401855, 0.01096601007967147
1024,4096, 4194304, 10, 4.282159447669983, 0.08644946833816583
